Time_us,Ticks,PWM
1212846,924,400
1214594,927,400
1216338,929,400
1218082,932,400
1219821,934,400
1221567,936,400
1223308,939,400
1225052,941,400
1226795,944,400
1228542,946,400
1230282,948,400
1232025,951,400
1233767,953,400
1235514,956,400
1237253,958,400
1238996,960,400
1240740,963,400
1242490,965,400
1244230,968,400
1245973,970,400
1247711,972,400
1249459,975,400
1251203,977,400
1252946,980,400
1254685,982,400
1256428,984,400
1258172,987,400
1259915,989,400
1261657,992,400
1263401,994,400
1265141,996,400
1266884,999,400
1268624,1001,400
1270368,1004,400
1272108,1006,400
1273852,1009,400
1275597,1011,400
1277345,1013,400
1279085,1016,400
1280829,1018,400
1282574,1021,400
1284319,1023,400
1286059,1025,400
1287803,1028,400
1289547,1030,400
1291290,1033,400
1293031,1035,400
1294777,1037,400
1296525,1040,400
1298269,1042,400
1300009,1045,400
1301757,1047,400
1303501,1049,400
1305244,1052,400
1306985,1054,400
1308733,1057,400
1310481,1059,400
1312224,1061,400
1313965,1064,400
1315711,1066,400
1317458,1069,400
1319206,1071,400
1320947,1073,400
1322691,1076,400
1324431,1078,400
1326179,1081,400
1327919,1083,400
1329663,1085,400
1331407,1088,400
1333150,1090,400
1334891,1093,400
1336634,1095,400
1338376,1098,400
1340120,1100,400
1341860,1102,400
1343610,1105,400
1345353,1107,400
1347097,1110,400
1348837,1112,400
1350582,1115,400
1352324,1117,400
1354069,1119,400
1355810,1122,400
1357558,1124,400
1359299,1127,400
1361044,1129,400
1362789,1131,400
1364535,1134,400
1366276,1136,400
1368020,1139,400
1369762,1141,400
1371510,1144,400
1373251,1146,400
1374994,1148,400
1376739,1151,400
1378490,1153,400
1380231,1156,400
1381974,1158,400
1383719,1161,400
1385467,1163,400
1387211,1165,400
1388955,1168,400
1390699,1170,400
1392448,1173,400
1394193,1175,400
1395937,1177,400
1397677,1180,400
1399423,1182,400
1401164,1185,400
1402907,1187,400
1404649,1190,400
1406393,1192,400
1408134,1194,400
1409877,1197,400
1411620,1199,400
1413368,1202,400
1415108,1204,400
1416852,1206,400
1418597,1209,400
1420345,1211,400
1422085,1214,400
1423829,1216,400
1425574,1219,400
1427319,1221,400
1429059,1223,400
1430803,1226,400
1432547,1228,400
1434291,1231,400
1436031,1233,400
1437777,1235,400
1439525,1238,400
1441269,1240,400
1443009,1243,400
1444757,1245,400
1446501,1247,400
1448244,1250,400
1449985,1252,400
1451733,1255,400
1453481,1257,400
1455224,1260,400
1456965,1262,400
1458711,1264,400
1460459,1267,400
1462207,1269,400
1463947,1272,400
1465691,1274,400
1467431,1276,400
1469181,1279,400
1470921,1281,400
1472665,1284,400
1474409,1286,400
1476153,1288,400
1477893,1291,400
1479637,1293,400
1481380,1296,400
1483124,1298,400
1484864,1300,400
1486610,1303,400
1488353,1305,400
1490097,1308,400
1491837,1310,400
1493582,1312,400
1495324,1315,400
1497069,1317,400
1498809,1320,400
1500558,1322,400
1502299,1324,400
1504044,1327,400
1505789,1329,400
1507535,1332,400
1509276,1334,400
1511020,1337,400
1512762,1339,400
1514510,1341,400
1516251,1344,400
1517994,1346,400
1519738,1349,400
1521490,1351,400
1523230,1353,400
1524974,1356,400
1526719,1358,400
1528467,1361,400
1530211,1363,400
1531955,1366,400
1533699,1368,400
1535448,1370,400
1537193,1373,400
1538937,1375,400
1540677,1378,400
1542423,1380,400
1544163,1382,400
1545907,1385,400
1547649,1387,400
1549393,1390,400
1551133,1392,400
1552877,1394,400
1554620,1397,400
1556367,1399,400
1558108,1402,400
1559851,1404,400
1561597,1406,400
1563345,1409,400
1565086,1411,400
1566829,1414,400
1568574,1416,400
1570319,1418,400
1572059,1421,400
1573803,1423,400
1575547,1426,400
1577290,1428,400
1579031,1430,400
1580777,1433,400
1582525,1435,400
1584269,1438,400
1586009,1440,400
1587757,1443,400
1589501,1445,400
1591244,1447,400
1592985,1450,400
1594732,1452,400
1596481,1455,400
1598224,1457,400
1599965,1459,400
1601711,1462,400
1603459,1464,400
1605207,1467,400
1606947,1469,400
1608691,1471,400
1610431,1474,400
1612179,1476,400
1613919,1479,400
1615663,1481,400
1617406,1483,400
1619150,1486,400
1620891,1488,400
1622635,1491,400
1624376,1493,400
1626120,1495,400
1627861,1498,400
1629610,1500,400
1631353,1503,400
1633097,1505,400
1634837,1507,400
1636582,1510,400
1638324,1512,400
1640069,1515,400
1641809,1517,400
1643558,1519,400
1645299,1522,400
1647044,1524,400
1648789,1527,400
1650535,1529,400
1652276,1531,400
1654020,1534,400
1655762,1536,400
1657510,1539,400
1659250,1541,400
1660994,1544,400
1662739,1546,400
1664490,1548,400
1666231,1551,400
1667974,1553,400
1669719,1556,400
1671467,1558,400
1673211,1561,400
1674955,1563,400
